boughtDate,price,count
2017-04-08,7969500,10
2017-04-09,4746000,8
2017-04-10,5787620,10
2017-04-11,4366300,9
2017-04-12,12447400,9
2017-04-13,8462500,8
2017-04-14,11008800,10
2017-04-15,11341950,10
2017-04-16,8165608,12
2017-04-17,9471600,15
2017-04-18,1124400,5
2017-04-19,15739900,12
2017-04-20,4305000,8
2017-04-21,13724500,12
2017-04-22,9149500,5
2017-04-23,2534000,5
2017-04-24,19358500,11
2017-04-25,12184000,13
2017-04-26,13722500,11
2017-04-27,9589594,11
2017-04-28,21260100,17
2017-04-29,11934000,8
2017-04-30,18627250,12
2017-05-01,28438600,21
2017-05-02,28082500,16
2017-05-03,12606500,15
2017-05-04,26286700,18
2017-05-05,11092000,6
2017-05-06,2330000,5
2017-05-07,4109500,7
2017-05-08,16146200,12
2017-05-09,7201300,10
2017-05-10,26957400,13
2017-05-11,9782900,9
2017-05-12,6932500,5
2017-05-13,2110000,4
2017-05-14,5967208,5
2017-05-15,8112300,10
2017-05-16,6825900,12
2017-05-17,7611200,10
2017-05-18,27327600,17
2017-05-19,11060110,11
2017-05-20,15506000,11
2017-05-21,6003400,10
2017-05-22,19791800,17
2017-05-23,53016100,18
2017-05-24,19173800,11
2017-05-25,9809600,9
2017-05-26,16027400,18
2017-05-27,1419300,8
2017-05-28,3044100,8
2017-05-29,23728800,28
2017-05-30,9725000,12
2017-05-31,19854020,15
2017-06-01,20924600,13
2017-06-02,19605400,22
2017-06-03,9605100,10
2017-06-04,5276000,8
2017-06-05,6341400,12
2017-06-06,26362700,18
2017-06-07,7834500,18
2017-06-08,9856600,17
2017-06-09,8628500,13
2017-06-10,12736000,14
2017-06-11,11113400,15
2017-06-12,5318900,9
2017-06-13,12213600,22
2017-06-14,16573380,15
2017-06-15,18427600,12
2017-06-16,18817500,20
2017-06-17,5398700,12
2017-06-18,10397000,14
2017-06-19,11491500,13
2017-06-20,5368000,12
2017-06-21,10915000,12
2017-06-22,7125000,6
2017-06-23,9195500,9
2017-06-24,5330800,7
2017-06-25,7657000,7
2017-06-26,8176300,12
2017-06-27,8856500,12
2017-06-28,18716600,14
2017-06-29,14960100,16
2017-06-30,6734300,10
2017-07-01,6654000,19
2017-07-02,12724000,17
2017-07-03,26344000,18
2017-07-04,20937480,25
2017-07-05,11376000,10
2017-07-06,17195800,19
2017-07-07,26185600,21
2017-07-08,15832100,13
2017-07-09,22590300,13
2017-07-10,33580800,24
2017-07-11,15285200,20
2017-07-12,8927573,8
2017-07-13,18391000,8
2017-07-14,8159500,11
2017-07-15,13963700,16
2017-07-16,2851100,8
2017-07-17,15336500,10
2017-07-18,13470795,13
2017-07-19,16180800,16
2017-07-20,6256500,11
2017-07-21,8929000,13
2017-07-22,7205211,15
2017-07-23,8580000,12
2017-07-24,28870400,24
2017-07-25,12411000,12
2017-07-26,19915000,18
2017-07-27,28681000,20
2017-07-28,16939973,18
2017-07-29,6741208,11
2017-07-30,4867100,10
2017-07-31,33470300,21
2017-08-01,10081600,21
2017-08-02,7156700,13
2017-08-03,11137300,14
2017-08-04,14637200,21
2017-08-05,10432900,22
2017-08-06,7300300,22
2017-08-07,15338100,18
2017-08-08,17856900,18
2017-08-09,18548563,14
2017-08-10,5527100,10
2017-08-11,12550500,12
2017-08-12,17111800,12
2017-08-13,9281500,12
2017-08-14,19883900,15
2017-08-15,9115300,16
2017-08-16,4590200,20
2017-08-17,7157811,13
2017-08-18,16012199,19
2017-08-19,7817200,15
2017-08-20,7845000,8
2017-08-21,33167670,24
2017-08-22,9609300,19
2017-08-23,14442800,11
2017-08-24,20321270,21
2017-08-25,34255300,25
2017-08-26,14898800,21
2017-08-27,17296400,24
2017-08-28,23104500,23
2017-08-29,18312500,25
2017-08-30,15869800,18
2017-08-31,28693000,18
2017-09-01,10699770,14
2017-09-02,8541075,14
2017-09-03,10288500,10
2017-09-04,9915309,16
2017-09-05,18828360,21
2017-09-06,12872500,13
2017-09-07,7619662,24
2017-09-08,12601970,15
2017-09-09,10176400,21
2017-09-10,19190500,11
2017-09-11,3670000,12
2017-09-12,10914670,17
2017-09-13,6482679,16
2017-09-14,13032751,22
2017-09-15,8625000,17
2017-09-16,6513300,16
2017-09-17,21620500,14
2017-09-18,11808900,15
2017-09-19,26802900,19
2017-09-20,12494600,21
2017-09-21,11596686,17
2017-09-22,15801800,14
2017-09-23,4074519,14
2017-09-24,4946109,16
2017-09-25,14837609,15
2017-09-26,7656934,21
2017-09-27,12996811,19
2017-09-28,15564000,18
2017-09-29,22806508,29
2017-09-30,13927400,15
2017-10-01,7822300,14
2017-10-02,16177756,25
2017-10-03,15822101,25
2017-10-04,18632422,26
2017-10-05,13606900,26
2017-10-06,16168500,20
2017-10-07,17404250,16
2017-10-08,18219036,16
2017-10-09,18921101,21
2017-10-10,18742150,24
2017-10-11,12658800,20
2017-10-12,30374600,27
2017-10-13,8766475,16
2017-10-14,6042281,23
2017-10-15,12889200,19
2017-10-16,14591400,27
2017-10-17,28047633,26
2017-10-18,15331400,21
2017-10-19,25909270,23
2017-10-20,8526240,17
2017-10-21,16924300,15
2017-10-22,16598511,11
2017-10-23,17118292,20
2017-10-24,16983550,17
2017-10-25,4762450,14
2017-10-26,10850800,17
2017-10-27,4077200,12
2017-10-28,9812800,18
2017-10-29,8805000,16
2017-10-30,17451800,21
2017-10-31,19799370,25
2017-11-01,10414300,17
2017-11-02,37274200,19
2017-11-03,18770120,23
2017-11-04,13067170,20
2017-11-05,29579200,20
2017-11-06,21077061,20
2017-11-07,22245969,22
2017-11-08,10181922,19
2017-11-09,10358570,25
2017-11-10,4606462,19
2017-11-11,234525591,160
2017-11-12,87635509,55
2017-11-13,41617492,54
2017-11-14,53126200,41
2017-11-15,27334100,33
2017-11-16,27812500,27
2017-11-17,11488370,16
2017-11-18,16593970,28
2017-11-19,10023600,17
2017-11-20,23246670,31
2017-11-21,26368400,34
2017-11-22,36767070,30
2017-11-23,20913904,21
2017-11-24,20045631,32
2017-11-25,39988751,24
2017-11-26,25415380,29
2017-11-27,23630176,31
2017-11-28,13377261,31
2017-11-29,12439361,33
2017-11-30,16302881,31
2017-12-01,21125433,26
2017-12-02,10742333,23
2017-12-03,13600683,32
2017-12-04,29661938,49
2017-12-05,25281352,38
2017-12-06,34944022,52
2017-12-07,28108066,38
2017-12-08,23632409,32
2017-12-09,13093503,25
2017-12-10,12404106,20
2017-12-11,54124979,54
2017-12-12,517930684,413
2017-12-13,246560730,223
2017-12-14,223409832,239
2017-12-15,44952200,44
2017-12-16,25925140,32
2017-12-17,29444100,38
2017-12-18,27235503,44
2017-12-19,30527594,38
2017-12-20,22538421,34
2017-12-21,28250314,40
2017-12-22,31690177,36
2017-12-23,10068465,25
2017-12-24,6488644,13
2017-12-25,22084822,34
2017-12-26,18211758,31
2017-12-27,23554850,38
2017-12-28,20524306,43
2017-12-29,19832935,32
2017-12-30,10458271,40
2017-12-31,10010002,25
2018-01-01,10987854,27
2018-01-02,47067677,46
2018-01-03,36520054,44
2018-01-04,19675110,30
2018-01-05,31188562,37
2018-01-06,32073740,30
2018-01-07,12558873,26
2018-01-08,27354066,49
2018-01-09,14543364,31
2018-01-10,40690714,37
2018-01-11,38721973,61
2018-01-12,33280233,38
2018-01-13,13316033,26
2018-01-14,15459233,27
2018-01-15,12971233,43
2018-01-16,13664692,27
2018-01-17,20184223,42
2018-01-18,16492032,39
2018-01-19,20350314,39
2018-01-20,10971443,19
2018-01-21,11153122,22
2018-01-22,19027092,25
2018-01-23,19169411,37
2018-01-24,22617699,49
2018-01-25,21828632,43
2018-01-26,18903460,28
2018-01-27,28277642,33
2018-01-28,17946122,27
2018-01-29,30497670,25
2018-01-30,30985222,33
2018-01-31,36886131,48
2018-02-01,15474853,28
2018-02-02,27865906,35
2018-02-03,15513281,26
2018-02-04,28495699,41
2018-02-05,42166400,52
2018-02-06,17791280,31
2018-02-07,22474834,34
2018-02-08,16874762,33
2018-02-09,17152422,27
2018-02-10,21440320,27
2018-02-11,15207569,22
2018-02-12,17923111,31
2018-02-13,23233400,22
2018-02-14,17963100,30
2018-02-15,23475045,31
2018-02-16,27959470,34
2018-02-17,9642088,18
2018-02-18,18815407,25
2018-02-19,18704840,34
